relationship_id,citation_key,mechanism,predictor,predictor_value,predictor_range,predictor_unit,response,response_value,response_unit,response_uncertainty,relationship_type,effect_direction,model_or_value,species,life_stage,fish_size,acclimation,structure_type,structure_detail,operating_point,geometry,n,exposure_pathway,outcome_timing,source_location,extraction_method,digitized_points_file,confidence,notes
Amaral2020_r02,Amaral2020,blade strike,strike velocity,10,,m/s,survival,26.8,%,,point,varies,reported survival at fixed velocity; slant & strike-location effect,Rainbow trout (Oncorhynchus mykiss),,TL 100-200 mm,,turbine,"100 mm thick semicircular blade; L/t=2, 90 deg (tangential) slant, same location",,,,laboratory simulated,immediate-to-48h,Amaral 2020 Abstract/Results,reported,,Mined,primary; blade slant & within-body strike location strongly modify survival at constant velocity
Amaral2020_r03,Amaral2020,blade strike,strike velocity,10,,m/s,survival,68.0,%,,point,varies,reported survival at fixed velocity; slant & strike-location effect,Rainbow trout (Oncorhynchus mykiss),,TL 100-200 mm,,turbine,"100 mm thick semicircular blade; 200 mm fish, strike location 0.58 (near caudal)",,,,laboratory simulated,immediate-to-48h,Amaral 2020 Abstract/Results,reported,,Mined,primary; blade slant & within-body strike location strongly modify survival at constant velocity
Amaral2020_r04,Amaral2020,blade strike,strike velocity,10,,m/s,survival,7.9,%,,point,varies,reported survival at fixed velocity; slant & strike-location effect,Rainbow trout (Oncorhynchus mykiss),,TL 100-200 mm,,turbine,"100 mm thick semicircular blade; 200 mm fish, strike location 0.36 (near head)",,,,laboratory simulated,immediate-to-48h,Amaral 2020 Abstract/Results,reported,,Mined,primary; blade slant & within-body strike location strongly modify survival at constant velocity
Bevelhimer2019_r01,Bevelhimer2019,blade strike,blade leading-edge thickness,,26 vs 52,mm,mortality,,,,categorical,decrease,thicker leading edge -> lower mortality; higher velocity -> higher mortality,American shad (Alosa sapidissima);Rainbow trout (Oncorhynchus mykiss);Hybrid striped bass (Morone saxatilis x M. chrysops),,,,turbine,semicircular leading edge 26 & 52 mm; head/mid-body/tail strikes,,,950,laboratory simulated,immediate-to-48h,Bevelhimer 2019 Tables 5-6; Fig 6,reported,,Mined,"primary; 950 fish, 52 trials; source of the HSB synthesis model"
Meng2022_r01,Meng2022,blade strike,strike velocity,,6.3-12,m/s,immediate mortality,10.88,%,,point,increase,gross immediate mortality across all strike tests (total injury rate 80.5%),Crucian carp (Carassius carassius),,,,turbine,fish-friendly turbine blade-strike rig; injury rises with strike speed & blade-thickness/length ratio,,,,laboratory simulated,immediate-to-48h,Meng 2022 Sect 4.1,reported,,Mined,primary; fish-friendly turbine optimisation; injury severity driven by strike speed
Amaral2011_r01,Amaral2011,blade strike,L/t ratio,,<=1,dimensionless,injury,,,,categorical,decrease,injury increases sharply when fish length <= blade thickness (L/t<=1); strike velocity 10-12 m/s,Rainbow trout (Oncorhynchus mykiss),,,,turbine,leading-edge design study; blade thickness vs fish length,,,,laboratory simulated,immediate-to-48h,Amaral 2011,reported,,Mined,primary; L/t is the key blade-strike design ratio (higher L/t = thinner blade rel. to fish = more injury)
Colotelo2018_r01,Colotelo2018,shear,strain rate,1185,168-1185,s-1,mortality,67,%,,point,increase,highest mortality at max strain rate tested,Blue gourami (Trichopodus trichopterus);Iridescent shark (Pangasianodon hypophthalmus),,,,,,,,,laboratory simulated,immediate-to-48h,Colotelo 2018 Table 5,reported,,Mined,primary; gouramis more susceptible than sharks; 0-67% mortality range
Colotelo2018_r02,Colotelo2018,shear,strain rate,1185,,s-1,injury,86.7,%,,point,increase,operculum damage (most common injury) at 1185 s-1,Blue gourami (Trichopodus trichopterus),,,,,,,,,laboratory simulated,immediate-to-48h,Colotelo 2018 Table 4,reported,,Mined,primary; operculum damage dominant injury
Pflugrath2020b_r01,Pflugrath2020b,shear,strain rate,,168-1600,s-1,injury,,,,threshold,increase,injury onset ~9 m/s jet; all fish injured by 15 m/s,American shad (Alosa sapidissima),,,,,,,,,laboratory simulated,immediate-to-48h,Pflugrath 2020b Table 3,reported,,Mined,primary; source of the synthesis shad strain-rate coefficients (confirmed)
Pflugrath2020b_r02,Pflugrath2020b,shear,acceleration,682,,m/s2,mortality,50,%,,threshold,increase,A50 (acceleration at 50% mortality) = -b0/b1,American shad (Alosa sapidissima),,,,,,,,,laboratory simulated,immediate-to-48h,Pflugrath 2020b Table 4,reported,,Mined,primary; NEW acceleration dose axis (Sensor-Fish metric); model DRM_shr_acc_mort_americanshad
Turnpenny2000_r01,Turnpenny2000,blade strike,mutilation ratio (constant),0.43,,dimensionless,injury,,,,point,n/a,Von Raben theoretical/observed damage ratio for Kaplan turbines,Atlantic salmon (Salmo salar),,,,,,,,,modelled,immediate-to-48h,Turnpenny 2000 Sect 4.3,reported,,Mined,NEW MODEL CLASS; Von Raben constant later refined to length-dependent MR=0.1533*ln(L)+0.0125
Turnpenny2000_r02,Turnpenny2000,blade strike,strike rate (predicted vs observed),,,%,injury,5.9,%,,point,n/a,STRIKER predicted 5.9% strike vs 4.4% observed (full load); 7.7% vs 7.5% (half load),Atlantic salmon (Salmo salar),,,,,,,,,modelled,immediate-to-48h,Turnpenny 2000 Sect 6 (field validation),reported,,Mined,field-validated geometry-based collision model
